Gender:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,Gender:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it. [Other],City:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,State/Province:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,Country:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,"Formation or Concentration:  Please tell us your educational background (biology, chemistry, physics, etc)",Please tell us the highest degree achieved:,Please tell us the highest degree achieved: [Other],Are you affiliated with any institutions/groups/organizations?,Could you tell us which one(s)?,"If you are in an academic institution, what is your main occupation:   ",Which of these are your main work area,Which of these are your main work area [Other],For how many years have you been working in this area?   ,How do you perceive research equipment access inside your group/institution?,How do you perceive research equipment access inside your group/institution? [Other],Could you explain a bit your previous answer?,Which of the following do you consider to be the biggest difficulty in equipment access?,Which of the following do you consider to be the biggest difficulty in equipment access? [Other],Which equipments/tools are most used in your lab/workspace? [Most used:],Which equipments/tools are most used in your lab/workspace? [Second most used (if any):],Which equipments/tools are most used in your lab/workspace? [Third most used (if any):],"If funds were not a constrain and you could buy a new piece of research equipment today, what would it be? (please try to avoid acronyms (use thermocycler instead of PCR machine) [Equipment 1:]","If funds were not a constrain and you could buy a new piece of research equipment today, what would it be? (please try to avoid acronyms (use thermocycler instead of PCR machine) [Equipment 2 (if any):]","If funds were not a constrain and you could buy a new piece of research equipment today, what would it be? (please try to avoid acronyms (use thermocycler instead of PCR machine) [Equipment 3(if any):]",Was there ever a need to change a project due to problems related to equipment use/access?,"Could you tell us which equipment caused the change? (please try to avoid acronyms,  use thermocycler instead of PCR machine).","In case any projects had to be changed due to access/problems, could you tell us why?","Do you use Open Technologies* in your work/research/projects?     *Any tools, code or equipment based on open source (build, calibration plans, and/or code freely distributed)   ","Which ones? (Please list all that you remember. Separate them with commas: ImageJ, Python, Ubuntu, OpenPCR, etc)",Do you know anyone who is using open technologies?,"Could you tell us what they are using? (Please list all that you remember. Separate them with commas: ImageJ, Python, Ubuntu, OpenPCR, etc)",Do you know any scientific equipment that is open source?,"Which ones (please list all that you know/remember. Separate them with commas: OpenPCR, OpenEphys, etc)",Would you consider buying equipment from new brands?,Could you tell us why?,"Would you consider building laboratory equipment yourself, if you were given a list of necessary components and the building and calibration manuals?",Could you tell us why?,Have you ever tested equipment from less known/new brands?,You did it because:,Have you ever built laboratory equipment yourself?,Could you please tell us a bit more about it?,Would you like to test research equipment from new brands or distributed under DIY paradigm?
Female,,Tuebingen,Baden-Wuerttemberg,Germany,Biology,Masters,,Yes,University of Tuebingen,Researcher,Biology,,5,Satisfactory,,,,,Two-photon microscope,Confocal microscope,none,Multi-electrode array,None,None,No,,,Yes,"Python, ImageJ",Yes,"ImageJ, Python",No,,Maybe,Maybe because they are less expensive.,Yes,We can customize things according to our need and will also learn the basic working principle of the equipment which would also help in solving technical issues that comes during the experiment.,No,,No,,Yes
Female,,,,,Biology,PhD,,Yes,Private basic research institute,Professor,Biology,,18,Satisfactory,,,,,dissection microscopes,pipettes,thermocycler,confocal microscope,next generation sequencer,None,No,,,No,,I wouldn't know,,No,,Maybe,"I would like to know if other colleagues have good experience with a new brand first. Of course, it depends on the level of sophistication of the piece of equipment and how easy it would be for me to asses if the equipment fails or is imprecise in any way.",Yes,"Again it would depend on the sophistication of the equipment and the relative cost (not just price, but maintenance, and also environmental friendliness). ",Yes,Only available brand,No,,Yes
Female,,,,Germany,neuroscience,Masters,,Yes,NMI/MCS,Student,Biology,,7,Partially satisfactory,,"The variety is sufficient, the quality is something debatable.",The amount of time necessary to repair/calibrate existing equipment,,microelectride array,computer,none,a decent light stimulation setup,a good camara,None,Yes,,Equipment unavailable (other reasons than being broken),,,,,,,,,,,,,,,
Male,,Portland,Oregon,United States,Bioinformatics,PhD,,Yes,Oregon Health & Science University,Professor,Other,Bioinformatics,15,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Warsaw,Mazowieckie,Poland,Biolgy,Masters,,Yes,Nencki Institute,Student,Biology,,5,Satisfactory,,,,,"cages for behavioral research, microscopes, software for analysis of behavioral data",none,none,two photon microscope for calcium imaging,None,None,No,,,Yes,"Python, Ubuntu, Arduino, Bonsai, Miniscope, OpenEphys",Yes,The same as me,Yes,"Miniscope, OpenEphys, ",No,I do not ned it at this point,Yes,"Im doing it actually, its cheap and gives much more control",Yes,Looking for affordable option,Yes,"I built a controller for a laser for oprogenetic experiments, automated doors for a cage",Yes
Male,,Paris,,France,Computer Science / Computational Neuroscience,PhD,,Yes,Sorbonne University,Researcher,Other,Computational neuroscience,13,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
,,,,,Psychology,PhD,,Yes,,,Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,San Jose,California,United States,"Biology, Genetics, high-throughput yeast genetics using barcode sequencing",PhD,,Yes,"NIST, Stanford",Researcher,Biology,,7,Satisfactory,,I'm in a new lab flush with startup gear and leftovers from an old lab that just left. We are very well set up.,,,Pipette,Centrifuge,Nanodrop,Very high speed centrifuge (50mL's at 15krcf),None,None,No,,,Yes,"Ubuntu, Firefox, Singularity, Nextflow, R, Python, GIMP

My computer is all FOSS.",Yes,"Just code, as above.",No,,Yes,"If it filled a need. Example, I didn't know there are plate-filling robots (384 well format), and it makes some work we do way more feasible for one person to do.

But, I don't make the decisions about these kinds of things and have only made use with what we have. I'd like to take a more active role in the future.",Yes,"I just remembered that I'm very intent on building an Ingolia Turbidostat.
https://github.com/ingolia-lab/turbidostat/tree/master/mcgeachy-2018
I've built one turbidostat prototype and troubleshot another type of these.

These are a better way of culturing pooled libraries for sequencing-based pooled screens. That might make pooled screens (so no need for robotics) more precise, and maybe more accessible to others.",No,,Yes,"It was a turbidostat prototype, not good enough to actually use for experiments but it gave me the confidence to pursue building another better design (planning that now).",Yes
Male,,,,France,Biology,Masters,,Yes,,Student,Biology,,5,Partially satisfactory,,Not compatible with all operating systems. Works exclusively with proprietary software,The amount of time necessary to repair/calibrate existing equipment,,photospectrometer,transmission electronic microscope,none,None,None,None,Yes,,Equipment unavailable (other reasons than being broken),Yes,"Firefox, Ubuntu, R, RStudio, LaTeX, pandoc, vim, python, zotero",Yes,"Firefox, Ubuntu, R, RStudio, LaTeX, pandoc, vim, python, zotero",No,,Maybe,Science is highly competitive and some projects require fast results. I can not afford buying a broken/unfit piece of equipment. I therefore need to trust the brand. Trust might come from previous purchases. But it might also come from other places so I'm not totally reluctant to this idea,Yes,Probably easier to replace broken parts,No,,No,,Yes
Female,,Gatineau,Quebec,Canada,Ecology,PhD,,Yes,Code for Science and Society,Researcher,Biology,,3,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,,,,Psychology,Masters,,Yes,,Student,Other,Psychology,6,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Atlanta,Georgia,United States,biology,PhD,,Yes,Emory University,Researcher,Computer science,,1,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,,,,Neuroscience ,PhD,,Yes,,,Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,,,France,"psychology, neuroscience, image processing",PhD,,Yes,INRA,Researcher,Other,neuroscience,10,Partially satisfactory,,we have lots of equipment but there is a cost to using it,Other,cost,MRI,none,none,an MRI at a Tesla higher than 3,None,None,No,,,Yes,"Python, ImageJ, ITKsnap, ANTS, FSL, SPM, Freesurfer,",Yes,"Python, ImageJ, ITKsnap, ANTS, FSL, SPM, Freesurfer,",No,,Yes,why not,Yes,why not,No,,No,,Yes
Male,,Glasgow,,"Scotland, United Kingdom","MEng in microelectronics & photonics, DEng in medical devices",PhD,,Yes,University of Strathclyde,Researcher,Biology,,8,Satisfactory,,I work in quite a collaborative institute where many PIs are happy to share their equipment (although for some there is a monetary cost),,,Fluorescence microscope systems,Patch clamp,western blotting,Spinning disk confocal micrscope,3d printer,wire myograph,No,,,Yes,"ImageJ & FIJI, uManager, Python, VasoTracker!",Yes,"ImageJ & FIJI, uManager, Python",Yes,"OpenSPIN, OpenSPIM, Arduino, OpenPCR, OpenEphys, Prometheus, FlyPI, VasoTracker",Yes,"I will always assess value for money. However, if I can build a better one myself then I will!",Yes,Lab equipment is unnecessarily expensive and often only designed for specific tasks. I would prefer to build things that are useful for exactly what I want to do!,No,,Yes,"VasoTracker (open source pressure myograph system, see www.vasotracker.com)",Yes
,,,,,A,Bachelors of science,,,,Researcher,Health,,2,Satisfactory,,,,,Eeg,none,none,Tilt machine,None,None,I wouldn't know,,,Yes,Eeglab,I wouldn't know,,No,,Yes,G,Yes,H,No,,Yes,G,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Kiifi,,Kenya,Biology,PhD,,Yes,Pwani university,Professor,Biology,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,Columbia,MO,USA,Physiology and Pharmacology,PhD,,Yes,University of Missouri,Professor,Other,Physiology,13,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Paris,,France,Biology ,PhD,,Yes,CNRS INSERM ,Researcher,Biology,,20,Partially satisfactory,,Nice core facilities but expensive ,Too many users for a small number of equipment/tools,,behavioural setup,Surgery room,Electrophysiology rig,Optical imaging miniscope in vivo,Wireless optogenetic stimulation,Electrophysiology extracellular recording setup,No,,,Yes,"OpenEphys, UCLA miniscope, FED (3D printed feeder), ImageJ, Python, Github",Yes,"OpenEphys, UCLA miniscope, FED (3D printed feeder), ImageJ, Python, Github",Yes,"OpenEphys, UCLA miniscope, FED (3D printed feeder), Cyclops",Yes,Sometimes worth the price if too technical,Yes,"We are already doing so. Cheaper, more flexibility to modify",Yes,Needed to establish new protocols/experiments in the lab for which there were no options available in the market,Yes,High throughput operant chamber for mice. Compatible with chronic recording and optogenetic protocols. Necessary to run complex behavioural tasks. Publication soon.,Yes
Male,,Pasadena,California,USA,Mech Eng,Bachelors of science,,Yes,Caltech,Student,Biology,,1,Partially satisfactory,,"Few of certain types of machines, hard to get time on them. Time lags for buying new equiptment ",Too many users for a small number of equipment/tools,,Microscope,Syringe pump,Gel Imager,10X single cell sequencing machine,Top of the line Nikon microscope ,F2 Excimer Laser,I wouldn't know,,,Yes,"Python
Arduino
ImageJ
poseidon (I developed)",Yes,Same as above. We have user of the poseidon system. ,Yes,"Open PCR
Open trons
poseidon
Open source centrifuge
Open source e-wetting machine ",Maybe,Cost and performance is important to consider. ,Yes,I have complete control over the operation of the drive (as long as it works as well as I’d like it to.),No,,Yes,poseidon syringe pump and microscope is an open source system that I developed,Yes
Male,,Paris ,,France,Biology ,PhD,,Yes,CNR S,Researcher,Biology,,30,Satisfactory,,,,,Electrophysiology rigs,2-photon microscopes ,Confocal miceoscopes,2-photon microscopes ,Miniendoscopes,Electrophysiology rigs for in vivo recordings,No,,,Yes,Image. Python. ,Yes,Imaje J python openephys,Yes,Openephys,Maybe,Test,No,Too complicated.too much time to invest. Lack of support ,Yes,Looking for affordable option,Yes,Computers ,Yes
Female,,Langenau,,Germany,IT & Business & Engineering,PhD,,Yes,"acm, webgrrls.de, DHBW (university)",Professor,Other,Business Informatics,16,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,Montpellier,,France,"evolutionary biology, ecology",PhD,,Yes,Institut National de la Recherche Agronomique,Researcher,Biology,,8,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
,,,,,Biology,PhD,,Yes,,Researcher,Biology,,28,Satisfactory,,,,,Confical microscopes,Custom built behavioural equipment,none,Two-photon microscope,Super resolution microscope,Build more customised behavioural equipment,No,,,Yes,FIJI,I wouldn't know,,No,,Yes,"Why not! As long as the equipment fits a need, who cares about the brand!",Yes,Because that would create equipment customised to my needs,Yes,Needed to establish new protocols/experiments in the lab for which there were no options available in the market,Yes,My team has recently started to build customised behavioural equipment for fruit flies,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Paris,,France,"Biology, Computer science",PhD,,Yes,Center for Research and Interdisciplinarity,Researcher,Biology,,18,Satisfactory,,,,,Incubator,Thermocycler,Confocal microscope,Confocal microscope,Liquid handling station,Fluorescent stereomicroscope,Yes,Confocal microscope,Equipment broke and it took too much time to repair it,Yes,"ImageJ, Python, Linux, EMBOSS, PHP, Java, MariaDB, ",Yes,"ImageJ, Python, Linux, EMBOSS, PHP, Java, MariaDB, OpenSPIM",Yes,"OpenSPIM, OpenPCR",,,,,,,,,
Female,,Langenau,,Germany,IT & Engineering,PhD,,Yes,DHBW,Professor,Computer science,,13,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Lima,Lima,Peru,Ingeniería,Masters,,Yes,Universidad Peruana Cayetano Heredia,Researcher,Engineering,,4,Partially satisfactory,,"Las facultades suelen comprar equipos/herramientas propietarias que demandan grans de montos de dinero, lo cual condiciona la adquisión de otros equipos. Sin embargo, estan comenzando a apostar por los software y hardware libres pero en mínimas cantidades.",The amount of time necessary to repair/calibrate existing equipment,,Impresora 3D,Centrifuga,Incubadora,Microscopio de fluorescencia,Espectrofotometro,Rotovapor,No,,,Yes,"Software: OpenSCAD, FreeCAD, Repetier, Gensole, Ubuntu | Hardware: Arduino, Rephone, Raspberry Pi",Yes,"Software: OpenSCAD, FreeCAD, Repetier, Ubuntu | Hardware: Arduino, Rephone, Raspberry Pi",Yes,"OpenPCR, FlyPi, OpenDROP. OpenFlexure, OpenTrons, Generic Lab Equipmente by Gaudilabs",Yes,Estas nuevas propuesta necesitan el apoyo y validaci{on de la comunidad,Yes,¡Porque es DIVERTIDO! Además puedes capacitar a más personas y que el proyecto se replique localmente.,Yes,Looking for affordable option,Yes,Replique una impresora 3D modelo Prusa i3 y estoy terminando la construcción de un colorimetro e incubadora.,Yes
Other,Not attached to any,Warsaw,,Poland,"Computer science, biology",Masters,,Yes,Nencki Institute,Student,Other,Neuroinformatics,8,Partially satisfactory,,Yes,Other,The ordering of new hardware.,Computers,Coffe machine,Microwave oven,CUDA-enabled card of compute capability >= 3.5,More RAM and HDD storage.,More powerful workstation,Yes,Random access memory and disk storage.,Equipment unavailable (other reasons than being broken),Yes,"Ubuntu, Git, Python, NumPy, SciPy, matplotlib, pandas, LibreOffice, Inkscape",Yes,"Yes. (Ubuntu, Git, Python, NumPy, SciPy, matplotlib, pandas, LibreOffice, Inkscape)",No,,Maybe,No,Yes,Yes,Yes,Just to try out new things,Yes,Yes,Yes
Male,,Bristol,England,United Kingdom,Biology,PhD,,Yes,University of Bristol,Researcher,Other,Neuroscience,5,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Oxford,Oxfordshire,United Kingdom,Biologia,PhD,,Yes,Oxford University,Researcher,Biology,,3,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Stockholm ,,Sweden ,Biomaterials ,PhD,,Yes,KTH ,Researcher,Engineering,,8,Partially satisfactory,,Equipment scattered. Blocked access in individual groups ,Certain types of equipment are not available,,Rtpcr,Microscope ,Qcm,Confocal microscope ,Hplc ,None,Yes,Microscope ,Equipment unavailable (other reasons than being broken),,,,,,,,,,,,,,,
Female,,,,,Neuroscience,Bachelors of science,,Yes,,Student,Biology,,5,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Rather not say,,,,,Electronics,Specialization (after undergrad studies),,Yes,Asian Institute of Technology,Student,Engineering,,6,Partially satisfactory,,"Although we have enough equipment that ment to accommodate students, we lack when and we need a new equipment for our researcher. It takes us lot of time to get permission from institute and  procure equipment.",Certain types of equipment are not available,,"Oscilloscope, FPGA, AVR ATmega328, 50ME","Software Defined Radios, Xlinx Spatron",none,Arduino,Raspberry Pi,Adlam Pluto SDR,Yes,"I started a project on Software Defined Radios(SDR),where I need new SDR equipment . We ordered new and it took months to come. Although we got it, due to low performance of Hardware I had to change the Project.",Equipment unavailable (other reasons than being broken),Yes,"Debian, GNU Radio, Adlam Pluto SDR, Raspberry Pi, Python, TP-Link, TP-link frimware",Yes,"Debian, Python, Keras, Open CV ",Yes,"Adlam Pluto SDR, GNU Radio,  FlyPi",Yes,"Usually I  buy form new brands that have initiatives of  Open Source Hardware, which forecasts the use of it for open science ad Technology.",Yes,We as a group our own Arduino based Microcontrollers. I especially made a DIY using existing Software Defined Radio and External Antennas.,Yes,Needed to establish new protocols/experiments in the lab for which there were no options available in the market,Yes,"We as a small group of startup did experimentation to build agricultural product that suits for Indian Scenario.For this tested large samples of equipment and we had a small lab where we  have built, implemented and tested.

We as  4 members nearly have an equipment of nearly  2  Lakh worth of, where the fund is generated by doing some outsourcing services.",Yes
Female,,,,,,Masters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Sacramento,California,United States,Biochemistry,PhD,,Yes,vitality.bio,Non-administrative/non-academic work,Chemistry,,6,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Berlin,Berlin,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,,,,physics,PhD,,Yes,,Researcher,Physics,,10,Partially satisfactory,,,Too many users for a small number of equipment/tools,,xrd,computers,laser spectrometer,xray diffractometer,spectrometer,None,Yes,,Equipment broke and it took too much time to repair it,Yes,"python, ubuntu, gsas, eclipse",Yes,"python, ubuntu, gsas, eclipse",No,,Yes,so long as their equipment is sound....,Yes,ensure meets requriements,Yes,Looking for affordable option,Yes,budget constraints necessitated building a flouresence spectrometer,Yes
Male,,Montreal,Quebec,Canada,Undergrad in CS; PhD in systems neuroscience,PhD,,Yes,Mcgill,Researcher,Biology,,12,Satisfactory,,There is a bit of contention for some resources but can mostly be fixed via planning,,,Neurophysiology ,Transcranial electrical stimulator,Eye tracker,Electroencephalograph,Access to VLSI,None,Yes,,,Yes,"Python, Linux, open ephys, gcc, R",Yes,"Python, Linux, open ephys, gcc, R",Yes,OpenEphys,Yes,"Depends on specs, price, and support",Yes,"Yes if the project has more time than money. No for some projects where speed is of the essence. For example, a recent DARPA contract had such a tight timeline that we opted for a commercial rather than open source product. We didn’t want to risk the time and wanted to have 3rd party support available",Yes,Just to try out new things,Yes,"Microdrive, adapted from a microscope stage. All sorts of adapters, response boxes, etc",Yes
Male,,Atlanta,Ga,Usa,,Masters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Ottawa,Ontario,Canada,high school,High school,,Yes,Hiqa inc.,Non-administrative/non-academic work,Other,Manufacturing,15,Satisfactory,,,,,Pick and place machine,nonesolder paste screen printer ,Reflow oven,Juli pick and place machine,Selective solder machine,Reflow oven,Yes,,,No,,No,,No,,Yes,I am not brand loyal to anything ,Yes,I have the facilities and knowledge to build it,Yes,Looking for affordable option,No,,Yes
Rather not say,,Brisbane,QLD,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Cape Town,Western Cape,South Africa,Medicine,PhD,,Yes,University of Cape Town,Researcher,Biology,,10,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,,,,biochemistry,Masters,,Yes,,Student,Biology,,1,Partially satisfactory,,,Too many users for a small number of equipment/tools,,Centrifuge,incubator,electrophoretic unit,electrophoresis unit,gel dock,flash evaporator,No,,,I wouldn't know,,I wouldn't know,,No,,Maybe,we won't know the working procedure.,Yes,i am interested to make something on own.,No,,No,,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,Bahir Dar,Amhara,Ethiopia,Computer Science,Masters,,Yes,Bahir Dar  University,Researcher,Computer science,,4,Unsatisfactory,, in order to access Equipment inside our institution  very hard because  equipment's are not available  and also in order to buy it is difficult,Too many users for a small number of equipment/tools,,Computer,sensors,Arduino Microcontroller,Sensors,raspberry pi ,GPU based PC,Yes,Sensors and Arduino,Equipment unavailable (other reasons than being broken),No,,No,,No,,Yes,Because most of the time New brands equipment have capability to perform any activity /task in efficient manner,Yes,yes  Because now I am working on wireless communication  research  center and I want to  build my laboratory equipment and train my Bsc students and staffs,Yes,Only available brand,No,,Yes
Male,,Lisbon,Lisbon,Portugal,Biology,PhD,,Yes,Champalimaud Research,Researcher,Biology,,9,Satisfactory,,"the group I work in now is well funded, this was different in my previous lab though, where I would have answered partially satisfactory",,,electrodes,photometry systems,microscopes,electrophysiological tools,None,None,I wouldn't know,,,Yes,"Python, Linux, ImageJ, Arduino, RasperryPI, OpenEphys, PyPhotometry, Bonsai",Yes,"Python, Linux, ImageJ, Arduino, Pulsepal, RaspberriPi, OpenEphys, Bonssai",Yes,"PulsePal, OpenEphys, PyPhotometry, ",Yes,I am not sure I understand the question. Why wouldn't I? I decide by the specs.,Yes,"low cost, customizability to my own specific needs",Yes,Looking for affordable option,Yes,"I have developed hardware myself. Optogenetical stimulators, olfactory stimulators (which is open ;) ), various smaller tools/devices, modifications of existing equipment etc.",Yes
,,,,,physics,PhD,,Yes,,,Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,Paris,,France,Biología,PhD,,Yes,ICM institute du cerveau et de la moelle epiniere,Researcher,Biology,,10,Partially satisfactory,,"La mayor parte del equipamiento mas caro pertenece a diferentes plataformas del centro en el que trabajo. Me refiero a microscopios confocales, secuenciadores, facs sorters etc.. esta estructura permite tener acceso a equipamiento que de otra forma no podríamos tener y es en general optimo. Sin embargo a veces no se ajusta a las necesidades especificas del proyecto o solo puede utilizarse a través de un técnico.",Certain types of equipment are not available,,pcr,confocales,secuencidares,"Qubit cuantificador con alta sensibilidad de RNA, DNA y proteína",bioanalycer para comprovar el estado de conservacion de las extracciones de RNA,two photon microscope,No,,,Yes,FIJI,Yes,Python for data analysis,No,,Yes,Si el rendimiento es el mismo no veo inconveniente en usar nuevas marcas,Yes,No veo dificultad en seguir instrucciones,No,,Yes,una estación de comportamiento para drosophila,Yes
Female,,,,,Pharmacology,Masters,,Yes,University of Ibadan,Student,Other,Pharmacology,3,Unsatisfactory,,"Equipment are outdated and some work have to be done outside of the institution, in private laboratories.",Other,"All of the problems listed above, alongside outdated equipment.",Electron microscope,Spectrophotometer,PCR machine,Microscope,Microscope,-90°C refrigerator,Yes,-90°C refrigerator,Equipment unavailable (other reasons than being broken),I wouldn't know,,No,,No,,Yes,"If it's cheaper, easily accessible and readily available.",Yes,It'll come with it a knowledge of knowing the components and being able to disassemble when there's a fault and repair as appropriate.,No,,No,,Yes
Male,,Cape Town,Western Cape,ZA,Biology,Masters,,Yes,UCT,Researcher,Biology,,5,Unsatisfactory,," there is often a mismatch between what is really needed and what funds are used for. Also, often researchers are not aware of where their fields are going in a real-world sense",Too many users for a small number of equipment/tools,,western blot facilities,various thermocycler systems,ultra centrifuges,bioreactors for the production of microbial biomass on pilot-scale,bench-top cytometer ,untracentrifuge,Yes,"access to good fluorescence microscopes, cytometers, inaccessible microbial strains from various pay-to-play collections ",Equipment broke and it took too much time to repair it,No,,No,,No,,Yes,fast-paced biotech innovation drives our research paradigm,No,"it depends on the time required, but our research field is already almost prohibitively time consuming",Yes,Looking for affordable option,Yes,"various bioreators for specific research applications. Also, integrated a multi photo laser into a fluorescent microscope for GFP-mediated axotomy in CV. elegans",Yes
Female,,Cape Town,Western Cape,South Africa,"biology, bioprocess engineering",PhD,,Yes,University of Cape Town,Researcher,Biology,,16,Partially satisfactory,,Aging but in working order or being maintained in working order,The amount of time necessary to repair/calibrate existing equipment,,Autoclaves,centrifuges,shaking incubators,Gas chromatography system,Off line gas analyser,None,Yes,Software for outdated off line gas analyser,Equipment broke and it took too much time to repair it,I wouldn't know,,I wouldn't know,,No,,Yes,Often more competitively priced. Although after sales service is important and therefore the distributor will need to guarantee this.,Yes,A deeper understanding of the inner working of the instrument would allow more freedom for either altering it or replacing broken parts in house.,Yes,Looking for affordable option,Yes,Specialised reactors.,Yes
Male,,,NRW,Deutschland,Chemie,High school,,Yes,,Student,Chemistry,,5,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Kumasi ,Ashanti region ,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
