Timestamp X Sexo: X Idade (em anos) X País: X Estado: X Cidade: X Escolaridade: X Formação: X Possui vínculo com alguma instituição? X Se sim, qual o nome dessa instituição? (opcional) X Ocupação: X Qual destas é a sua área principal (Grande Área)? X Há quantos anos você atua nessa área? X Qual é a sua sub-área? X Você utiliza técnologias abertas na pesquisa? X Você conhece alguém que utiliza tecnologias abertas na pesquisa? X Você conhece alguma iniciativa ou equipamento que seja open source e desenvolvido para uso laboratorial? X Como você percebe o acesso à equipamentos para a pesquisa dentro da sua instituição? X Caso considere que existam dificuldades relacionadas ao acesso à equipamentos, na sua opinião, qual seria a maior barreira? X Poderia em algumas palavras, nos dizer a razão? X Qual(is) equipamento(s) o seu laboratório mais usa / necessita? X Algum projeto já teve de ser alterado por falta de acesso a equipamentos? X Se sim, qual equipamento causou a alteração no projeto? X Caso tenha ocorrido alguma alteração de projeto no momento de execução por falta de acesso à equipamentos, qual o motivo? X Se você pudesse comprar um equipamento novo para o laboratório hoje, e verba não fosse um problema, que equipamento seria? X Considera viável a opção de adquirir equipamentos de novas marcas? X Já teve oportunidade de testar equipamentos de novas marcas? X Caso já tenha testado produtos de uma nova marca, você fez porque X Gostaria de ter acesso, para testes, à equipamentos produzidos por novas marcas e com baixo custo?
8/22/2018 20:04:49 X Masculino X 54 X Brazil X Rio Grande Norte X Natal X Doutorado X Medicina X Sim, instituição pública X UFRN X Pesquisador, Professor X Biologia X 26 - 30 X Neurociência X Sim X Sim X  X Insatisfatório X Certos tipos de equipamento não estão disponíveis X Pouca divulgação dos equipamentos e centralização por parte dos pesquisadores X Poligrafo (medida des de sinais bielétricos), actimetros,  X Sim X Actigrafos X Por quebra do equipamento existente e demora na manutenção X Poligrafo (Para EEG) X Sim X Sim X Buscava um preço mais acessível X Sim
8/22/2018 20:50:50 X Masculino X 28 X Brazil X Sao Paulo X Presidente Prudente X Doutorado, Em andamento X Quimica-Bacharelado X Sim, instituição pública X UNESP X Estudante X Química X 06 - 10 X Quimica de Materiais X Sim X Sim X Normalmente softwares como ImageJ. X Parcialmente satisfatório X Certos tipos de equipamento não estão disponíveis X "Muitos equipamentos sao de uso limitado ao grupo de pesquisa que pertence, ou as vezes é autorizado a realizaçao de analises ""externas"" porem com cobrança de altas taxas." X Espectrofotometria UV-Vis, Espectroscopia FT-IR. X Sim X Analise Elementar CHNS-O; ICP-MS; Viscosimetro. X Alteração no momento de planejamento X Analise Elementar CHNS-O X Sim X Não X  X 
8/22/2018 20:57:05 X Feminino X 32 X Brazil X RJ X RIO DE JANEIRO X Doutorado X Ciências Biológicas X Sim, instituição pública X FIOCRUZ X Pesquisador X Biologia X 11 - 15 X bioquímica e imunologia X Sim X Sim X ImageJ X Insatisfatório X Demora na manutenção/conserto do equipamento existente X  X espectrofotômetro, microscópio X Não X  X Apesar de dificuldades com equipamentos, não foi necessário alterar nenhum projeto porque contamos com equipamentos de colaboradores X Microscópio confocal X Sim X Não X  X 
8/22/2018 21:09:13 X Masculino X 22 X Brazil X São Paulo X Botucatu X Graduação - Bacharelado, Em andamento X Engenharia de bioprocessos e biotecnologia X Sim, instituição pública X Unesp X Estudante X Engenharia X 01 - 05 X Bioinformática X Não X Sim X Sim X Parcialmente satisfatório X Muitos pesquisadores e poucos equipamentos X  X Computadores X Não tenho conhecimento X Não X Nenhuma alteração no projeto de pesquisa foi necessária pela falta ou quebra de equipamentos X Uma máquina própria X Sim X Não X  X 
8/22/2018 21:30:34 X Masculino X 26 X Brazil X São Paulo X São Paulo X Graduação - Bacharelado X Química X Sim, instituição pública X USP X Estudante X Química X 01 - 05 X Produtos Naturais X Não sei responder X Sim X Mini centrifuga desenvolvida pelo clube de Hardware Livre IME-USP X Parcialmente satisfatório X Demora na manutenção/conserto do equipamento existente X  X HPLC-DAD, GC-MS, RMN(analise paga, feita no IQUSP) X Sim X HPLC-MS X Equipamento indisponível (outras razões além de quebra) X HPLC-MS X Sim X Não X  X 
8/22/2018 21:34:34 X Feminino X 29 X Brazil X Minas Gerais X Belo Horizonte X Doutorado X Doutorado em Biologia Celular X Sim, instituição pública X UFMG X Pesquisador X Biologia X 06 - 10 X Biologia Celular e Molecular X Sim X Sim X Somente bases de dados X Parcialmente satisfatório X Demora na manutenção/conserto do equipamento existente X  X Termocicladores e aparatos de eletroforese X Sim X Citômetro de fluxo e microscópio de fluorescência  X Por quebra do equipamento existente e demora na manutenção, Equipamento indisponível (outras razões além de quebra) X Citômetro de fluxo com imagem (Imaging flow cytometer) X Talvez X Sim X Buscava um preço mais acessível X Sim
8/22/2018 21:35:17 X Masculino X 22 X Brazil X São Paulo X Botucatu  X Em andamento X Graduando em Engenharia de Bioprocessos e Biotecnologia  X Sim, instituição pública X Universidade Estadual Paulista Júlio de Mesquita filho UNESP  X Estudante X Engenharia X 01 - 05 X Química Eletroanalitica e Nanotecnologia  X Não X Sim X Nao conheço  X Parcialmente satisfatório X Certos tipos de equipamento não estão disponíveis X Muitos pesquisadores e poucos equipamentos, e aqueles que o possuem tem um monopólio de uso. Deve espalhar a cultura dos laboratórios multiusuários X Eletrodos, células eletroquímicas, potenciados, agitadores magnéticos  X Não X  X  X  X Sim X Não X  X 
8/22/2018 21:38:24 X Masculino X 28 X Brazil X São Paulo X Campinas X Mestrado X Química X Sim, instituição pública X Unicamp X Estudante X Química X 06 - 10 X Bioinformática/metabolomica X Sim X Sim X XCMS X Insatisfatório X Muitos pesquisadores e poucos equipamentos X  X QTOF X Sim X Qtof X Por quebra do equipamento existente e demora na manutenção X Ion Mobility ou Orbitrap X Talvez X Não X  X 
8/22/2018 21:52:10 X Masculino X 42 X Brazil X Rio de Janeiro X Campos dos Goytacazes X Doutorado X Profissional de Educação Física X Sim, instituição privada X  X Professor, Profissional da área administrativa X Saúde X 11 - 15 X Neurociências X Não X Não X Sim X Satisfatório X Não percebo dificuldades em relação ao acesso de equipamentos X  X Eletroencefalograma (EEG) X Sim X EEG X Equipamento indisponível (outras razões além de quebra) X EEG quantitativo com foto estimulador X Sim X Não X  X 
8/22/2018 22:24:21 X Feminino X 34 X Brazil X São Paulo X Araras X Doutorado X Bióloga X Sim, instituição pública X Instituto Agronômico de Campinas X Pesquisador X Biologia X 11 - 15 X Biotecnologia X Sim X Sim X Não X Satisfatório X  X O preço de alguns equipamentos é muito elevado X Centrífuga, termociclador comum e tempo real, shaker X Sim X HPLC X Apesar de dificuldades com equipamentos, não foi necessário alterar nenhum projeto porque contamos com equipamentos de colaboradores X HPLC X Sim X Não X  X 
8/22/2018 22:34:04 X Feminino X 38 X Brazil X São Paulo X São Carlos X Pós doutorado X Engenheira de alimentos X Não X  X Pesquisador X Biologia X 16 - 20 X microbiologia X Sim X Sim X GNPS: Global Natural Products Social Molecular Networking X Satisfatório X Muitos pesquisadores e poucos equipamentos X  X incubadores com shaker; centrífugas; HPLCs X Não X  X Apesar de dificuldades com equipamentos, não foi necessário alterar nenhum projeto porque contamos com equipamentos de colaboradores X incubadora com agitação X Sim X Sim X Por ser a única marca disponível no momento X Não
8/22/2018 22:34:33 X Feminino X 31 X  X Rio de Janeiro X Niterói X Doutorado X Biologia X Sim, instituição pública X Universidade Federal do Rio de Janeiro X Estudante X Biologia X 06 - 10 X Ecologia X Não X Não X Nao X Parcialmente satisfatório X Muitos pesquisadores e poucos equipamentos X  X Computadores workstation, cameras trap, radio colares, armadilhas de captura X Sim X Armadilhas fotograficas X Equipamento indisponível (outras razões além de quebra) X Computadores workstation X Sim X Não X  X 
8/22/2018 22:44:32 X Masculino X 63 X  X São paulo X Campinas X Doutorado X Medicina X Sim, instituição privada X Faculdade de Medicina São Leopoldo Mandic X Professor X Saúde X 41 - 45 X Cirurgia X Não sei responder X Sim X Sim X Satisfatório X Demora na manutenção/conserto do equipamento existente X  X  X Não tenho conhecimento X  X Equipamento indisponível (outras razões além de quebra) X  X Sim X Sim X Buscava um preço mais acessível X Sim
8/22/2018 22:48:32 X Feminino X 27 X Brazil X São Paulo X Jundiaí X Mestrado, Em andamento X Química X Sim, instituição pública X  X Estudante X Química X 01 - 05 X Analítica X Sim X Sim X não X Parcialmente satisfatório X Certos tipos de equipamento não estão disponíveis X Alguns equipamentos que só se pode ter acesso atendendo exigências do professor responsável ou através de pagamentos X Raman, microscópio eletrônico, plasma X Sim X XPS X Por quebra do equipamento existente e demora na manutenção X  X Sim X Não X  X 
8/22/2018 22:55:32 X Masculino X 42 X Brazil X Minas Gerais X Barbacena  X Mestrado X Professor X Sim, instituição pública X Epcar X Pesquisador, Professor X Saúde X 11 - 15 X Educação Física X Não X Não X Não  X Parcialmente satisfatório X Muitos pesquisadores e poucos equipamentos X  X Computadores X Não X  X Por quebra do equipamento existente e demora na manutenção X Analisador de gases X Sim X Não X  X 
8/22/2018 23:31:11 X Masculino X 19 X Brazil X Ceará X Iguatu X Graduação - Licenciatura, Em andamento X Ciências Biológicas X Sim, instituição pública X Universidade Estadual do Ceará X Estudante X Biologia X 01 - 05 X Ecologia de processos X Não sei responder X Sim X Não X Insatisfatório X Certos tipos de equipamento não estão disponíveis X Baixo investimento X  X Não X  X  X Nn consigo definir apenas um  X Talvez X Não X  X 
8/22/2018 23:40:24 X Feminino X 36 X Brazil X RJ X Rio de Janeiro X Doutorado, Pós doutorado X Nutrição X Sim, instituição pública X UNIRIO X Pesquisador, Professor X Saúde X 11 - 15 X Nutrição X Sim X Sim X Não X Parcialmente satisfatório X Certos tipos de equipamento não estão disponíveis X Precisa pedir para o chefe do laboratório para usar X Dexa X Sim X Dexa X Equipamento indisponível (outras razões além de quebra) X Inbody X Sim X Não X  X 
8/23/2018 0:35:20 X Feminino X 38 X Brazil X Rio de Janeiro X Nova Friburgo X Graduação - Licenciatura X Ciências Biológicas X Sim, instituição pública X CEDERJ X Estudante X Biologia X 06 - 10 X Física Moderna X Sim X Sim X Que eu me lembre, não. X Satisfatório X Muitos pesquisadores e poucos equipamentos X  X Microscópios, lupas, aparelho de eletroforese, centrífuga. X Sim X A falta de eletroforese na aula de Biologia Celular X Equipamento indisponível (outras razões além de quebra), Não há o aparelho no laboratório X IRGA X Sim X Sim X Pela marca ter sido recomendada X Sim
8/23/2018 0:46:27 X Feminino X 34 X Brazil X Rio de Janeiro X São José de Ubá X Graduação - Bacharelado, Graduação - Licenciatura X Farmacia/ Ciencias Biologicas X Sim, instituição pública X Uenf X Estudante X Biologia X 01 - 05 X  X Não sei responder X Näo sei responder X  X Prefiro não opinar no momento X Demora na manutenção/conserto do equipamento existente X  X  X Não tenho conhecimento X  X Por quebra do equipamento existente e demora na manutenção X  X Sim X Não X  X 
8/23/2018 0:56:42 X Feminino X 23 X Brazil X So Paulo X Botucatu X Graduação - Bacharelado, Em andamento X Engenharia de Bioprocessos e Biotecnologia X Sim, instituição pública X  X Estudante X Engenharia X 01 - 05 X Micropropagacao de plantas X Não sei responder X Näo sei responder X  X Insatisfatório X Falta de equipamentos, mas nao por excesso de pesquisadores X  X Autoclave, pHmetro, agitador magnetico, Camara de fluxo laminar, microondas. X Não tenho conhecimento X  X  X pHmetro, autoclave  X Talvez X Não X  X 
8/23/2018 1:08:53 X Feminino X 27 X Brazil X Rio Grande do Sul X São Gabriel X Doutorado, Em andamento X Bacharel em Biotecnologia X Sim, instituição pública X Unipampa X Estudante X Biologia X 06 - 10 X Ecologia Microbiana X Sim X Sim X Sim X Parcialmente satisfatório X Demora na manutenção/conserto do equipamento existente X  X Sequenciador, termociclador  X Não X  X Nenhuma alteração no projeto de pesquisa foi necessária pela falta ou quebra de equipamentos X Sequenciador Illumina X Talvez X Sim X Pela necessidade de estabelecer novos protocolos e/ou experimentos no laboratório X Sim
8/23/2018 1:36:21 X Masculino X 30 X Brazil X SP X Porto Ferreira X Mestrado, Em andamento X Eng. de Biossistemas X Sim, instituição pública X USP X Estudante, Pesquisador X Engenharia X 06 - 10 X Sistemas agricolas X Sim X Sim X  X Parcialmente satisfatório X Certos tipos de equipamento não estão disponíveis X Alguns equipamentos ou softwares necessitam ser comprados e não ha recursos para isso. X Scanner, clorofilometros X Sim X Aparelho para medição de ndvi X Equipamento indisponível (outras razões além de quebra) X Drone X Talvez X Sim X Buscava um preço mais acessível X Sim
8/23/2018 1:47:28 X Feminino X 37 X Brazil X São Paulo X São Paulo X Graduação - Bacharelado, Especialização, Doutorado X Biomédica X Sim, instituição pública X UNIFESP X Pesquisador, Professor X Saúde X 11 - 15 X Fisiologia X Sim X Näo sei responder X ImageJ (?) X Insatisfatório X Certos tipos de equipamento não estão disponíveis X Inacessibilidade por dificuldade de agendamento (muitos usuários) e/ou falta do equipamento na instituição.  X Freezer -80C, PCR em tempo real, microscópio cirúrgico, Odyssey, HPLC X Não X  X  X HPLC acoplado ao massa X Sim X Sim X Pela necessidade de estabelecer novos protocolos e/ou experimentos no laboratório X Sim
8/23/2018 2:19:26 X Feminino X 33 X Brazil X PB X João Pessoa X Doutorado X Farmácia X Sim, instituição pública X  X Professor X Biologia X 11 - 15 X Fisiologia X Não X Sim X Não X Insatisfatório X Não há laboratórios multiusuários, os equipamentos são monopolizada por pessoas  X  X Citômetro de fluxo X Sim X Citômetro de fluxo X Equipamento indisponível (outras razões além de quebra) X Citômetro de fluxo X Sim X Não X  X 
8/23/2018 2:19:42 X Masculino X 46 X Brazil X MS X PONTA PORA X Doutorado, Em andamento X CIENCIA DA COMPUTACAO X Sim, instituição pública X UFMS X Professor X Ciência da computação X 26 - 30 X BIOINFORMATICA X Sim X Sim X SIM X Satisfatório X Não percebo dificuldades em relação ao acesso de equipamentos X  X SEQUENCIADOR DE DNA X Não tenho conhecimento X  X Nenhuma alteração no projeto de pesquisa foi necessária pela falta ou quebra de equipamentos X IMPRESSORA 3D e Sequenciador de DNA X Sim X Não X  X 
8/23/2018 2:25:26 X Masculino X 23 X Brazil X Paraná  X Curitiba  X Graduação - Bacharelado, Graduação - Licenciatura, Em andamento X Biólogo  X Sim, instituição privada X PUC/PR X Estudante X Biologia X 01 - 05 X Herpetologia X Sim X Näo sei responder X  X Parcialmente satisfatório X Certos tipos de equipamento não estão disponíveis X  X HPSEC  X Não tenho conhecimento X  X Apesar de dificuldades com equipamentos, não foi necessário alterar nenhum projeto porque contamos com equipamentos de colaboradores X Microscópio eletrônico  X Talvez X Não X  X 
8/23/2018 2:31:17 X Feminino X 30 X Brazil X Sp X Campinas X Doutorado, Em andamento X Quimica  X Sim, instituição pública X Unicamp X Estudante, Pesquisador X Química X 06 - 10 X Química orgânica  X Não X Näo sei responder X Não  X Satisfatório X Não percebo dificuldades em relação ao acesso de equipamentos X  X Rmn X Não tenho conhecimento X  X Apesar de dificuldades com equipamentos, não foi necessário alterar nenhum projeto porque contamos com equipamentos de colaboradores X Rmn  X Sim X Não X  X 
8/23/2018 2:50:26 X Feminino X 25 X Brazil X SP X Franca X Mestrado X Biomedica X Não X  X Estudante X Farmácia X 01 - 05 X Toxicologia X Sim X Sim X  X Satisfatório X Não percebo dificuldades em relação ao acesso de equipamentos X  X icp-ms, lc/ms-ms, cg/ms-ms X Sim X icp-ms X Por quebra do equipamento existente e demora na manutenção X equipamentos de biologia molecular/epigenetica/gwas X Sim X Sim X Pela marca ter sido recomendada X Sim
8/23/2018 3:31:17 X Feminino X 51 X Brazil X RS  X Porto Alegre  X Especialização X Biologia prof. X Sim, instituição pública X  X Professor X Biologia X 11 - 15 X  X Não X Não X  X Insatisfatório X Certos tipos de equipamento não estão disponíveis X custo  X não tenho laboratório  X Sim X não tenho laboratório  X  X  X Talvez X Não X  X 
8/23/2018 3:42:20 X Masculino X 28 X Brazil X RS X Pelotas X Graduação - Bacharelado, Em andamento X Biotecnologia X Sim, instituição pública X UFPel X Estudante X Biologia X 01 - 05 X Genética X Sim X Sim X  X Parcialmente satisfatório X Demora na manutenção/conserto do equipamento existente X  X Capela; vidraria X Não X  X Por quebra do equipamento existente e demora na manutenção X Capela; vidrarias X Sim X Não X  X 
8/23/2018 3:45:11 X Feminino X 21 X Brazil X PR X Curitiba X Graduação - Bacharelado, Em andamento X Engenharia de Bioprocessos e Biotecnologia X Sim, instituição pública X Universidade Federal do Paraná X Estudante X Biologia X 01 - 05 X Microbiologia e Enzimologia X Não sei responder X Näo sei responder X  X Parcialmente satisfatório X Demora na manutenção/conserto do equipamento existente X  X  X Sim X  X Por quebra do equipamento existente e demora na manutenção, Equipamento indisponível (outras razões além de quebra) X  X Sim X Não X  X 
8/23/2018 3:58:50 X Feminino X 21 X Brazil X Ceara  X Caucaia X Graduação - Bacharelado, Em andamento X Biotecnologista X Sim, instituição pública X Universidade Federal do Cear X Estudante X Biotecnologia  X 01 - 05 X Engenharia de Bioprocessos/Processos Bioquimicos X Sim X Näo sei responder X Nao  X Parcialmente satisfatório X Certos tipos de equipamento não estão disponíveis X Financiamento insuficiente para obtençao de alguns equipamentos necessarios X Incubadoras, pHmetro, bloco digestor de DQO, espectrofotometro, centrifugas, destilador, cromatografo gasoso  X A logistica da pesquisa teve de ser alterada. X HPLC X Apesar de dificuldades com equipamentos, não foi necessário alterar nenhum projeto porque contamos com equipamentos de colaboradores X Coluna para HPLC/Espectrometro de massas  X Sim X Não X  X 
8/23/2018 4:02:02 X Masculino X 41 X Brazil X Rio de Janeiro X Nova Friburgo X Graduação - Licenciatura X  X Sim, instituição pública X Uerj-Universidade do Estado do Rio de Janeiro X Estudante X Biologia X 01 - 05 X  X Sim X Näo sei responder X Desconheço X Insatisfatório X Certos tipos de equipamento não estão disponíveis X Muitos equipamentos não estão no acesso de muitos pesquisadores e alunos. X Microscópios eletrônicos X Não tenho conhecimento X  X  X Não sei responder X Talvez X Não X  X 
