Timestamp 	 Gender: 	 Age (years) 	 Country: 	 State: 	 City: 	 Education: 	 Education: 	 Do you have a relationship with any institution? 	 If so, what is the name of this institution? (optional) 	 Occupation: 	 Which of these is your main area (Grand Area)? 	 How many years have you been working in this area? 	 What is your sub-area? 	 Do you use open technologies in the research? 	 Do you know anyone who uses open technologies in research? 	 Do you know of any initiative or equipment that is open source and developed for laboratory use? 	 How do you perceive access to research equipment within your institution? 	 If you consider that there are difficulties related to access to the equipment, in your opinion, what would be the biggest barrier? 	 Could you in a few words tell us the reason? 	 Which equipment (s) does your laboratory most use / need? 	 Has any project ever had to be changed due to lack of access to equipment? 	 If so, which equipment caused the design change? 	 If there has been a project change at the time of execution due to lack of access to the equipment, what is the reason? 	 If you could buy new equipment for the lab today, and money was not a problem, what equipment would it be? 	 Do you consider the option to acquire equipment of new brands feasible? 	 Have you had the opportunity to test new brand equipment? 	 If you have already tested new brand products, you did it because 	 Would you like to have access to test equipment for new and low-cost brands?	
8/22/2018 20:04:49 	 Male 	54	 Brazil 	 Rio Grande Norte 	 Natal 	 Doctoral 	 Medicine 	 Yes, public institution 	 UFRN 	 Researcher, Professor 	 Biology 	 26 - 30 	 Neuroscience 	 Yes 	 Yes 		 Unsatisfactory 	 Certain types of equipment are not available 	 Low disclosure of equipment and centralization by researchers 	 Polygraph (measure of bieletric signals), acmeters, 	 Yes 	 Actigraphs 	 Breakage of existing equipment and delay in maintenance 	 Polygraph EEG) 	 Yes 	 Yes 	 Looking for a more affordable price 	 Yes	
8/22/2018 20:50:50 	 Male 	28	 Brazil 	 Sao Paulo 	 Presidente Prudente 	 PhD, Ongoing 	 Chemistry-Bachelor 	 Yes, public institution 	 UNESP 	 Student 	 Chemistry 	 06 - 10 	 Chemistry of Materials 	 Yes 	 Yes 	 Typically softwares like ImageJ. 	 Partially satisfactory 	 Certain types of equipment are not available 	 Many equipment is limited to the research group it belongs to, or it is sometimes permitted to carry out external but high charges. 	 UV-Vis spectrophotometry, FT-IR spectroscopy. 	 Yes 	 Elemental Analysis CHNS-O; ICP-MS; Viscosimeter. 	 Change in planning time 	 Elemental Analysis CHNS-O 	 Yes 	 No 	 	 	
8/22/2018 20:57:05 	 Female 	32	 Brazil 	 RJ 	 RIO DE JANEIRO 	 PhD 	 Biological Sciences 	 Yes, public institution 	 FIOCRUZ 	 Researcher 	 Biology 	 11 - 15 	 biochemistry and immunology 	 Yes 	 Yes 	 ImageJ 	 Unsatisfactory 	 Delay in maintenance / repair of existing equipment 		 spectrophotometer, 	 microscope No 		 Despite difficulties with equipment, it was not necessary to change any project because we have equipment of collaborators 	 Confocal Microscope 	 Yes 	 No 			
8/22/2018 21:09:13 	 Male 	22	 Brazil 	 São Paulo 	 Botucatu 	 Undergraduate - Baccalaureate, In progress 	 Bioprocess and biotechnology engineering 	 Yes, public institution 	 Unesp 	 Student 	 Engineering 	 01 - 05 	 Bioinformatics 	 No 	 Yes 	 Yes 	 Partially satisfactory 	 Many researchers and few equipment 		 Computers 	 I have no knowledge 	 No 	 No change in the research project was required by the lack or breakdown of equipment 	 Own machine 	 Yes 	 No 			
8/22/2018 21:30:34 	 Male 	26	 Brazil 	 São Paulo 	 São Paulo 	' Undergraduate - Bachelor''s degree '	 Chemistry 	 Yes, public institution 	 USP 	 Student 	 Chemistry 	 01 - 05 	 Natural Products 	 Do not know 	 Yes 	 Mini centrifuge developed by the Free Hardware Club IME-USP 	 Partially satisfactory 	 Delay in maintenance / repair of existing equipment 	 HPLC-MS 	 HPLC-DAD, GC-MS, NMR (Paid analysis done in IQUSP) 	 Equipment unavailable (other reasons besides break) 	 HPLC-MS 	 Yes 	 No 					
8/22/2018 21:34:34 	 Female 	29	 Brazil 	 Minas Gerais 	 Belo Horizonte 	 PhD 	 PhD in Cell Biology 	 Yes, public institution 	 UFMG 	 Researcher 	 Biology 	 06 - 10 	 Cellular and Molecular Biology 	 Yes 	 Yes 	 Databases only 	 Partially satisfactory 	 Delay in maintenance / repair of existing equipment 		 Thermocyclers and electrophoresis apparatus 	 Yes 	 Flow cytometer and fluorescence microscope 	 For breakdown of existing equipment and delay in maintenance, Equipment unavailable ( other reasons besides breaking) 	 Imaging flow cytometer 	 Maybe 	 Yes 	 Looking for a more affordable price 	 Yes	
8/22/2018 21:35:17 	 Male 	22	 Brazil 	 São Paulo 	 Botucatu 	 In progress 	 Graduating in Bioprocess Engineering and Biotechnology 	 Yes, public institution 	 Universidade Estadual Paulista Júlio de Mesquita Filho UNESP 	 Student 	 Engineering 	 01 - 05 	 Chemistry Electroanalitics and Nanotechnology 	 No 	 Yes 	 Not known 	 Partially satisfactory 	 Certain types of equipment are not available 	 Many researchers and few equipment, and those who have it, have a monopoly of use. Should spread the culture of multiuser laboratories 	 Electrodes, electrochemical cells, potentiated, magnetic stirrers 	 No 	 	 	 	 Yes 	 No 	 		
8/22/2018 21:38:24 	 Male 	28	 Brazil 	 São Paulo 	 Campinas 	 Masters 	 Chemistry 	 Yes, public institution 	 Unicamp 	 Student 	 Chemistry 	 06 - 10 	 Bioinformatics / metabolomics 	 Yes 	 Yes 	 	CMS 	 Unsatisfactory 	 Many researchers and few equipment 		 QTOF 	 Yes 	 Qtof 	 Breakage of existing equipment and maintenance delay 	 Ion Mobility or Orbitrap 	 Maybe 	 No 		
8/22/2018 21:52:10 	 Male 	42	 Brazil 	 Rio de Janeiro 	 Campos dos Goytacazes 	 PhD 	 Physical Education Professional 	 Yes, private institution 		 Teacher, Administrative Professional 	 Health 	 11 - 15 	 Neurosciences 	 No 	 No 	 Yes 	 Satisfactory 	 I do not understand difficulties in accessing equipment 		 Electroencephalogram (EEG) 	 Yes 	 EEG 	 Equipment unavailable (other reasons besides breaking) 	 Quantitative EEG with photo stimulator 	 Yes 	 No 			
8/22/2018 22:24:21 	 Female 	34	 Brazil 	 São Paulo 	 Araras 	 PhD 	 Biologist 	 Yes, public institution 	 Campinas Agronomic Institute 	 Researcher 	 Biology 	 11 - 15 	 Biotechnology 	 Yes 	 Yes 	 No 	 Satisfactory 		O price of some equipment is very high 	 Centrifugal, common thermal cycler and real time, shaker 	 Yes 	 HPLC 	 Despite difficulties with equipment, it was not necessary to change any project because we counted on equipment of collaborators 	 HPLC 	 Yes 	 No 			
8/22/2018 22:34:04 	 Female 	38	 Brazil 	 São Paulo 	 São Carlos 	 Post Doctoral 	 Food Engineer 	 No 		 Researcher 	 Biology 	 16 - 20 	 microbiology 	 Yes 	 Yes 	 GNPS: Global Natural Products Social Molecular Networking 	 Satisfactory 	 Many researchers and few equipment 		 incubators with shaker; centrifuges; HPLCs 	 No 	 	 Despite difficulties with equipment, it was not necessary to change any project because we have collaborators equipment 	 incubator with shaking 	 Yes 	 Yes 	 Because it is the only mark available at the moment 	 No 	
8/22/2018 22:44:32 	 Male 	63		 São Paulo 	 Campinas 	 PhD 	 Medicine 	 Yes, private institution 	 Faculty of Medicine São Leopoldo Mandic 	 Professor 	 Health 	 41 - 45 	 Surgery 	 I do not know how to answer 	 Yes 	 Yes 	 Satisfactory 	 Delay in maintenance / repair of the existing equipment 			 I am not aware 		 Equipment unavailable (other reasons besides break) 		 Yes 	 Yes 	 Looking for a more affordable price 	 Yes	
8/22/2018 22:48:32 	 Female 	27	 Brazil 	 São Paulo 	 Jundiaí 	 Master, In progress 	 Chemistry 	 Yes, public institution 		 Student 	 Chemistry 	 01 - 05 	 Analytical 	 Yes 	 Yes 	 no 	 Partially satisfactory 	 Certain types of equipment are not available 	 Some equipment that can only be accessed according to the requirements of the responsible teacher or through payments 	 Raman, electron microscope, plasma 	 Yes 	 	PS 	 Breakage of existing equipment and maintenance delay 		 Yes 	 No 		
8/22/2018 22:55:32 	 Male 	42	 Brazil 	 Minas Gerais 	 Barbacena 	 Masters 	 Professor 	 Yes, public institution 	 Epcar 	 Researcher, Professor 	 Health 	 11 - 15 	 Physical Education 	 No 	 No 	 No 	 Partially satisfactory 	 Many researchers and few equipment 		 Computers 	 No 		 By breaking existing equipment and delayed maintenance 	 Gas analyzer 	 Yes 	 No 			
8/22/2018 23:31:11 	 Male 	19	 Brazil 	 Ceará 	 Iguatu 	 Undergraduate - Undergraduate, In progress 	 Biological Sciences 	 Yes, public institution 	 State University of Ceará 	 Student 	 Biology 	 01 - 05 	 Ecology of processes 	 I do not know how to respond 	 Yes 	 No 	 Not satisfactory 	 Certain types of equipment are not available 	 Low investment 		 No 			 Nn I can only define one 	 Maybe 	 No 			
8/22/2018 23:40:24 	 Female 	36	 Brazil 	 RJ 	 Rio de Janeiro 	 Doctoral, Post Doctoral 	 Nutrition 	 Yes, public institution 	 UNIRIO 	 Researcher, Professor 	 Health 	 11 - 15 	 Nutrition 	 Yes 	 Yes 	 No 	 Partially satisfactory 	 Certain types of equipment are not available 	 You need to ask the lab chief to use 	 Dexa 	 Yes 	 Dexa 	 Equipment unavailable (other reasons besides break) 	 Inbody 	 Yes 	 No 			
8/23/2018 0:35:20 	 Female 	38	 Brazil 	 Rio de Janeiro 	 Nova Friburgo 	' Undergraduate - Bachelor''s Degree '	 Biological Sciences 	 Yes, public institution 	 CEDERJ 	 Student 	 Biology 	 06 - 10 	 Modern Physics 	 Yes 	 Yes 	 That I remember, no. 	 Satisfactory 	 Many researchers and few equipment 	 	 Microscopes, magnifying glasses, electrophoresis apparatus, centrifuge. 	 Yes 	 The lack of electrophoresis in the Cell Biology class 	 Equipment unavailable (other reasons besides break), There is no apparatus in the laboratory 	 IRGA 	 Yes 	 Yes 	 For the mark to have been recommended 	 Yes	
8/23/2018 0:46:27 	 Female 	34	 Brazil 	 Rio de Janeiro 	 São José de Ubá 	' Undergraduate - Bachelor''s Degree - Bachelor''s degree '	 Pharmacy / Biological Sciences 	 Yes, public institution 	 Uenf 	 Student 	 Biology 	 01 - 05 		 I do not know how to answer 	 I do not know how to answer 		 I prefer not to comment at the moment 	 Delay in maintenance / repair of the existing equipment 			 I am not aware 		 Why the existing equipment is broken and maintenance is delayed 		 Yes 	 No 			
8/23/2018 0:56:42 	 Female 	23	 Brazil 	 So Paulo 	 Botucatu 	 Undergraduate - Bachelor, In Progress 	 Bioprocess Engineering and Biotechnology 	 Yes, public institution 		 Student 	 Engineering 	 01 - 05 	 Micropropagation of plants 	 I do not know how to answer 	 I do not know how to answer 		 Unsatisfactory 	 Lack of equipment, but not too many researchers 		 Autoclave, pH meter, magnetic stirrer, laminar flow chamber, microwave. 	' I''m not aware '	 	 	 pHmeter, autoclave 	 Maybe 	 No 	 		
8/23/2018 1:08:53 	 Female 	27	 Brazil 	 Rio Grande do Sul 	 São Gabriel 	 PhD, Ongoing 	 Bachelor of Biotechnology 	 Yes, public institution 	 Unipampa 	 Student 	 Biology 	 06 - 10 	 Ecology Microbial 	 Yes 	 Yes 	 Yes 	 Partially satisfactory 	 Delay in maintenance / repair of existing equipment 		 Sequencer, thermocycler 	 No 		 No change in research project was required due to missing or broken equipment 	 Sequencer Illumina 	 Maybe 	 Yes 	 Needed to establish new protocols and / or experiments in the laboratory 	 Yes 	
8/23/2018 1:36:21 	 Male 	30	 Brazil 	 SP 	 Porto Ferreira 	 Master, Ongoing 	 Biosystems Engineer 	 Yes, public institution 	 USP 	 Student, Researcher 	 Engineering 	 06 - 10 	 Systems Agricultural 	 Yes 	 Yes 		 Partially satisfactory 	 Certain types of equipment are not available 	 Some equipment or software need to be purchased and there are no resources for this. 	 Scanner, chlorophyllometers 	 Yes 	 Device for measuring ndvi 	 Equipment unavailable (other reasons besides break) 	 Drone 	 Maybe 	 Yes 	 Looking for a more affordable price 	 Yes	
8/23/2018 1:47:28 	 Female 	37	 Brazil 	 São Paulo 	 São Paulo 	 Undergraduate - Bachelor, Specialization, Doctorate 	 Biomedical 	 Yes, public institution 	 UNIFESP 	 Researcher, Professor 	 Health 	 11 - 15 	 Physiology 	 Yes 	 I do not know how to respond 	 ImageJ (?) 	 Unsatisfactory 	 Certain types of equipment are not available 	 Inaccessibility due to difficulty in scheduling (many users) and / or lack of equipment in the institution. 	 Freezer -80C, real-time PCR, surgical microscope, Odyssey, HPLC 	 No 	 	 	 HPLC coupled to mass 	 Yes 	 Yes 	 For the need to establish new protocols and / or experiments in the laboratory 	 Yes	
8/23/2018 2:19:26 	 Female 	33	 Brazil 	 PB 	 João Pessoa 	 PhD 	 Pharmacy 	 Yes, public institution 		 Professor 	 Biology 	 11 - 15 	 Physiology 	 No 	 Yes 	 No 	 Unsatisfactory 	 No there are multi-user laboratories, the equipment is monopolized by people 		 Flow cytometer 	 Yes 	 Flow cytometer 	 Equipment unavailable (other reasons besides breaking) 	 Flow cytometer 	 Yes 	 No 			
8/23/2018 2:19:42 	 Male 	46	 Brazil 	 MS 	 PONTA PORA 	 PhD, Ongoing 	 COMPUTER SCIENCE 	 Yes, public institution 	 UFMS 	 Professor 	 Computer science 	 26 - 30 	 BIOINFORMATICA 	 Yes 	 Yes 	 YES 	 Satisfactory 	 I do not understand difficulties regarding equipment access 		 DNA SEQUENCER 	 I have no knowledge 		 No changes to the research project were necessary due to missing or broken equipment 	 3D PRINTER and DNA Sequencer 	 Yes 	 No 			
8/23/2018 2:25:26 	 Male 	23	 Brazil 	 Paraná 	 Curitiba 	 Undergraduate - Bachelor, Undergraduate, In progress 	 Biologist 	 Yes, private institution 	 PUC / PR 	 Student 	 Biology 	 01 - 05 	 Herpetology 	 Yes 	 I do not know how to answer 		 Partially satisfactory 	 Certain types of equipment are not available 		 HPSEC 	 I do not know 		 Despite difficulties with equipment, it was not necessary to change any project because we have equipment of collaborators 	 Electronic microscope 	 Maybe 	 No 			
8/23/2018 2:31:17 	 Female 	30	 Brazil 	 Sp 	 Campinas 	 PhD, Ongoing 	 Chemistry 	 Yes, public institution 	 Unicamp 	 Student, Researcher 	 Chemistry 	 06 - 10 	 Organic chemistry 	 No 	 I do not know how to respond 	 No 	 Satisfactory 	 I do not understand difficulties in accessing equipment 		 Rmn 	' I''m not aware '		 Despite difficulties with equipment, it was not necessary to change any project because we have equipment of collaborators 	 Rmn 	 Yes 	 No 			
8/23/2018 2:50:26 	 Female 	25	 Brazil 	 SP 	 Franca 	 Masters 	 Biomedical 	 No 		 Student 	 Pharmacy 	 01 - 05 	 Toxicology 	 Yes 	 Yes 		 Satisfactory 	 I do not understand difficulties with access of equipment 		 icp-ms, lc / ms-ms, cg / ms-ms 	 Yes 	 icp-ms 	 For breakdown of existing equipment and delay in maintenance 	 molecular biology / epigenetic equipment / gwas 	 Yes 	 Yes 	 By brand has been recommended 	 Yes	
8/23/2018 3:31:17 	 Female 	51	 Brazil 	 RS 	 Porto Alegre 	 Specialization 	 Biology prof. 	 Yes, public institution 	 	 Professor 	 Biology 	 11 - 15 	 	 No 	 No 	 	 Unsatisfactory 	 Certain types of equipment are not available 	 cost 	 I do not have a laboratory 	 Yes 	 I do not have a laboratory 	 	 	 Maybe 	 No 	 		
8/23/2018 3:42:20 	 Male 	28	 Brazil 	 RS 	 Pelotas 	 Undergraduate - Baccalaureate, In progress 	 Biotechnology 	 Yes, public institution 	 UFPel 	 Student 	 Biology 	 01 - 05 	 Genetics 	 Yes 	 Yes 		 Partially satisfactory 	 Delay in maintenance / repair of existing equipment 		 Chapel; glassware 	 No 	 	 Breakage of existing equipment and delay in maintenance 	 Chapel; Glassware 	 Yes 	 No 	 		
8/23/2018 3:45:11 	 Female 	21	 Brazil 	 PR 	 Curitiba 	' Undergraduate - Bachelor''s Degree, In Progress '	 Bioprocess Engineering and Biotechnology 	 Yes, public institution 	 Federal University of Paraná 	 Student 	 Biology 	 01 - 05 	 Microbiology and Enzymology 	 I do not know how to answer 	 I do not know how to answer 		 Partially satisfactory 	 Delay in maintenance / repair of existing equipment 			 Yes 		 Due to existing equipment failure and maintenance delay, Equipment unavailable (other reasons besides break) 		 Yes 	 No 			
8/23/2018 3:58:50 	 Female 	21	 Brazil 	 Ceara 	 Caucaia 	' Undergraduate - Bachelor''s Degree, In progress '	 Biotechnologist 	 Yes, public institution 	 Federal University of Cear 	 Student 	 Biotechnology 	 01 - 05 	 Engineering of Bioprocesses / Biochemical Processes 	 Yes 	 I do not know how to answer 	 No 	 Partially satisfactory 	 Certain types of equipment are not available 	 Insufficient funding to obtain necessary equipment 	 Incubators, pH meter, COD digester block, spectrophotometer, centrifuges, distiller, gas chromatograph 	 The logistics of the research had to be changed. 	 HPLC 	 Despite difficulties with equipment, it was not necessary to change any project because we have equipment of collaborators 	 Column for HPLC / Mass Spectrometer 	 Yes 	 No 	 		
8/23/2018 4:02:02 	 Male 	41	 Brazil 	 Rio de Janeiro 	 Nova Friburgo 	 Graduation - Licentiate 		 Yes, public institution 	 Uerj-University of the State of Rio de Janeiro 	 Student 	 Biology 	 01 - 05 		 Yes 	 Do not know answer 	 Not known 	 Unsatisfactory 	 Certain types of equipment are not available 	 Many equipment is not accessible to many researchers and students. 	 Electron Microscopes 	 I do not know 	 	 	 I do not know how to answer 	 Maybe 	 No 	 		
8/23/2018 4:08:34 	 Male 	24	 Brazil 	 Bahia 	 Salvador 	 Specialization 	 Bachelor of Chemistry 	 Yes, public institution 	 Bahia State University (UNEB) 	 Researcher 	 Chemistry 	 01 - 05 	 Chemistry Analytical 	 No 	 No 		 Partially satisfactory 	 Delay in maintenance / repair of existing equipment 		 High Efficiency Liquid Chromatography 	 Yes 	 Lack of Chromatographic Columns 	 Equipment unavailable (other reasons than break) 	 Mass Spectrometry Detector. 	 Yes 	 No 	 		
